Effective Date,Repo Rate,%Change
09-Apr-25,6.00%,0.25%
07-Feb-25,6.25%,0.25%
06-Dec-24,6.50%,
18-Sep-24,6.50%,-
08-Jun-23,6.50%,-
08-Feb-23,6.50%,0.25%
07-Dec-22,6.25%,0.35%
30-Sep-22,5.90%,0.50%
05-Aug-22,5.40%,0.50%
08-Jun-22,4.90%,0.50%
May-22,4.40%,0.40%
09-Oct-20,4.00%,0.00%
06-Aug-20,4.00%,0.00%
22-May-20,4.00%,0.40%
27-Mar-20,4.40%,0.75%
06-Feb-20,5.15%,0.25%
07-Aug-19,5.40%,0.35%
06-Jun-19,5.75%,0.25%
04-Apr-19,6.00%,0.25%
07-Feb-19,6.25%,0.25%
01-Aug-18,6.50%,0.25%
06-Jun-18,6.25%,0.25%
02-Aug-17,6.00%,0.25%
04-Oct-16,6.25%,0.25%
05-Apr-16,6.50%,0.25%
29-Sep-15,6.75%,0.50%
02-Jun-15,7.25%,0.25%
04-Mar-15,7.50%,0.25%
15-Jan-15,7.75%,0.25%
28-Jan-14,8.00%,-0.25%
29-Oct-13,7.75%,-0.25%
20-Sep-13,7.50%,-0.25%
03-May-13,7.25%,-0.50%
17-Mar-11,6.75%,-0.25%
25-Jan-11,6.50%,-0.25%
02-Nov-10,6.25%,-0.25%
16-Sep-10,6.00%,-0.25%
27-Jul-10,5.75%,-0.25%
02-Jul-10,5.50%,-0.25%
20-Apr-10,5.25%,-0.25%
19-Mar-10,5.00%,-0.25%
21-Apr-09,4.75%,0.25%
05-Mar-09,5.00%,0.50%
05-Jan-09,5.50%,1.00%
08-Dec-08,6.50%,1.00%
03-Nov-08,7.50%,0.50%
20-Oct-08,8.00%,1.00%
30-Jul-08,9.00%,-0.50%
25-Jun-08,8.50%,-0.50%
12-Jun-08,8.00%,-0.25%
30-Mar-07,7.75%,-0.25%
31-Jan-07,7.50%,-0.25%
30-Oct-06,7.25%,-0.25%
25-Jul-06,7.00%,-0.50%
24-Jan-06,6.50%,-0.25%
26-Oct-05,6.25%,0
